Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
28,308,ZEDS; AGAMIS; ABAC; CADET; BEZ; DEB; DEBE; GAK; HEAP; JIG; LICE; NEELE; EL; MELON; LOON; ERR; CADETS; ST; THE; JUT; XYST; EEW,159,OI; DA; BAP; DEE; EE; KED; EF; EH; ICE; KLIEG; MM; NA; GIN; ONO; NO; ERN; SEE; SEE; URP; TERN; FA; ZEL,Player1
29,291,WANEY; YUAN; CAN; BEADED; CABA; AX; GEE; HIE; CHEEK; MNEME; KIN; KINK; NONG; POP; RAX; PORNS; ERST; TREE; AT; ZO; ER,179,LIED; CAB; ADDIO; DEBE; EX; EE; GEE; DEFI; EF; IN; CABAL; OM; KOLO; MING; ERS; OS; ST; JUN; ES; EW,Player1
30,326,FENMEN; MAAR; BAC; DEADEN; CEE; BAE; FED; AGIN; JEE; LEMME; KIN; NOOK; OPPO; OPPOS; KORS; ORT; TWA; YEN; JEEZ; WOST,182,ESSE; ALB; RAV; CEL; DEBS; DEED; HEH; EX; GILD; JIG; NO; NONG; KO; ER; TORN; NE; UNS; TUT; WOS,Player1
31,386,PARTIER; BAAS; RACA; DEAD; DEAD; TEE; EE; EFF; GHI; KEEKER; ELMEN; ELM; GONK; POONCE; QI; GEMS; TWA; QIS; PUT; YELM; XU,145,AHS; NA; NA; WED; EE; ED; DE; GEM; BI; EL; NIGH; ONCE; LOON; ON; RAHS; JO; ST; ES; TURME; JO; VOM,Player1
32,364,FEM; BANTAM; BACCA; DEEMED; BAAED; DEF; HEH; DIKE; MELL; KEEN; COO; APP; ROC; HES; KIRNS; TEGG; TURN; XYST; TURNT; NENE,110,DEN; AA; BAA; NEED; DEE; EGG; GI; JEE; LINN; EN; OO; ON; GIO; SKIN; DEER; US; ST; GEEZ; UR,Player1
33,320,AGENE; JAK; ADZ; PACED; DEAD; ADZE; EDGE; AAH; EIK; JILGIE; DEADMEN; GEL; ION; KNOP; ELKS; ERRS; TO; DENT; QUA; EEW; WAAH; SUNN,138,KAE; ABB; CEP; DEED; EE; FE; EE; GIE; FIE; MM; ELK; NONE; ONO; OR; RE; RES; NIS; SUN; ST; HM; CRY,Player1
34,275,FAUT; FIE; ABACA; TEDDED; DEEDED; AKA; GEE; HIC; HE; JEEL; EKE; ENG; HEN; OGEED; PEKE; LORN; STEDDED; PEKES; NETT; GU; WO; WOX; GEEZ,163,NET; KA; KAAS; BEE; DEE; DE; GEED; GIB; FICE; LI; ME; MNA; MOON; OO; LOR; OP; ER; TOP; ST; LAR; MNAS; WRY,Player1
35,295,OCEAN; ABAKA; DADA; CEDED; DEE; FADE; DADAH; AGEE; CLEIK; KNEEL; NAH; JOL; PEH; FEER; CLEIKS; SLEB; PEDS; NTH; UTU; XU; NEF; NEON,163,OKA; DE; RE; DWEEB; BEDE; FEE; EH; CIGGIE; EL; MIM; GON; MO; EON; RE; ALS; ENS; OR; ST; ST; KY; TI,Player1
36,334,CORRAL; ABBA; ADDED; BEE; EARED; EEL; FEG; HAHA; HIE; MEIKLE; EM; JEEL; JO; FOP; ROK; CEDES; NTH; EEVN; SNY; OX; NY; VEE; NO,175,ANAN; ARE; ED; TE; CEDE; EE; EKE; CERE; KED; FLIM; IN; NOG; OK; GOR; POSS; PST; US; NUT; EW; ZA; IN; WOK,Player1
37,309,WOGGLE; WAN; CAD; ECAD; GAE; AGED; EE; FEE; AIA; KIKE; IMAGED; NEMN; KOHA; NOB; FEER; ERROR; SECH; LITS; DEFT; TURN; WE; SOX; ZA; RUN; ON,171,NEED; OBE; AE; WANED; GED; DEE; FEE; ECH; JIG; HA; DEEN; ME; BON; LI; ERR; REP; LA; SO; TEF; ST; NY; UR; ZA; NEMNS; PST,Player1
38,337,FLOUT; HAJ; ABACK; DEADED; JEE; CEE; CAFE; HAG; JIG; JINNEE; NONE; OPPO; OK; FLOUTS; OPPOS; TREE; RUNT; TRY; XU; WOK,128,OKEH; BANE; DADA; ED; DAZE; CEE; EE; LEGGIE; NIM; EM; NO; EN; ALS; EAS; TI; ET; NET; NO; BANES; REH,Player1
39,284,KEENO; FANE; BABACU; CEDE; CADEE; GAGE; FEH; HILL; ELEMI; MIL; HILLO; FINO; GAGER; DEER; ELEMIS; ONS; OPT; IT; EFT,146,EE; SAU; CAID; DEE; EE; DEE; AH; KEG; AN; INN; NO; BEGO; IRK; OP; ERM; ST; URP; TOE; EEW,Player1
40,238,KNIVED; DIF; ABA; BAAED; DEV; ALA; ALAE; CEE; HAE; GIF; DEE; HIKE; MIME; EEN; MIMEO; JO; PREEN; GRR; MIMEOS; BABAS,156,EF; LAT; BABA; END; NEK; EE; CEE; EF; DA; HI; IGG; ELL; ENE; KNEE; HOO; ON; NO; NORMS; DAS; AAS,Player1
41,388,ZEX; LANTANA; LIGGED; SEABED; XEBEC; RACED; EFF; GIE; KIEKIE; MNEME; JEFF; MOI; NOOK; PE; ERR; JEFFS; JOLTS; SUQ; DOW; WEEN; NY; UN; ZEE,162,LIGGE; TATAR; SEA; EA; EE; EE; DE; EHED; HM; KAE; EEN; JOL; MON; DO; ERRS; SNOOK; DENT; HIT; MOIL; DRY; PO; DEV,Player1
42,319,PLEX; SARDANA; LAC; ICED; DEEDED; LACE; GLACE; XI; KEEN; LEKU; MMM; NENE; NENE; LOON; RORE; UNSTOPS; XIS; ST; AIRY; NY; TI; HEN; ZE,194,UNSTOP; AI; DA; AE; EBB; EFFED; HIE; HE; IN; ALE; HEN; EN; GONK; JOB; GEN; OPT; SUR; ET; VET; MEW; KEN; EW,Player1
43,369,PERN; PANGA; VANDA; ECCE; BEEDI; BEEDIE; BEG; JEE; KEEL; LEMME; MM; FEN; JOBE; NOON; HAEN; VIPERS; VANDAS; GOT; NURR; JEELY; WUS; REF; RUN; EX,153,VIPER; AIA; AIDA; EE; IDEE; FE; HIE; DA; EL; EN; BE; CON; HAE; OK; GO; SKOG; FENT; PST; EF; US; TAES; ST; ZE,Player1
44,335,KEEPER; PEA; CAG; CODA; ADEEM; MELEE; FAG; FAH; JEBEL; KILIM; PEASEN; NEON; NOOP; ERROR; ST; ONST; EWT; MONTY; WOX; EEVN; NIT,194,MEL; BAG; DUBS; DECK; ED; EE; FEE; EE; ILK; MING; ON; KEEN; MON; NUS; IT; NARE; WURST; BAGS; QIN; HE; ZED,Player1
45,322,GOBAN; NEB; DADA; TEADE; DAE; GAE; FEG; HIED; HEH; KIKE; LEMEL; ELM; JO; NEB; REF; PRION; MICKS; PUNS; YUP; WADD; NY,165,TETE; AN; ADD; EE; EE; EE; BE; EX; EF; KED; MICK; JINNE; GOO; RE; NOR; SOSS; UP; ORT; TORT; ST; ZA,Player1
46,358,BLUEY; QAT; DWAAL; CAAED; EEEW; BEE; BEG; GIE; KIKE; KELL; DEEM; NEMN; NOON; POOP; ERR; SKELL; BEEBEES; KNURR; TWP; XU; TIZ; PEAN; EN,158,ETH; AND; ODD; EA; DE; BEEBEE; DICH; FE; AG; FE; ME; EN; OF; HAAR; SKIN; SEN; TI; ST; NA; ZE; ST; JOE,Player1
47,370,SOFTEST; ABAS; DADA; ABASED; DEE; NAE; DEE; FEE; AHI; TEKKIE; LEMEL; UM; LUM; JOL; OON; LIP; TEKKIES; AHINT; OURN; TEGG; WYNS; FEEN,175,TAIS; NUS; DAN; DEF; OE; ED; ECCE; EGG; GOE; EE; MIB; NE; INN; EMO; POH; EN; JINN; AR; FEDS; OPT; KY; NIX,Player1
48,316,PENKS; BAJAN; CAB; DEADED; CABA; FED; GHEE; PECKE; LEMEL; GIEN; KEB; OM; NOOK; PECKER; ANN; PECKERS; KEBS; ET; TA; RUNT; NYS,161,DIRE; ABED; CHAO; EE; EE; EDGE; GIE; EIDE; IF; ME; IF; CON; OE; ER; MEL; KIFS; NA; PER; STUN; ET; JEAN,Player1
49,342,CANTY; CABA; BAG; YEDE; DADA; GEE; CAZH; HAJI; LEEK; GEMEL; MM; KOI; NOON; QIN; DEP; YEDES; HAJIS; LIKINS; PI; ST; URN,151,FEU; CAZ; EDDO; BEE; GEED; FEG; HEH; IO; DE; LIKIN; AN; EA; OO; MEN; NAN; LEA; DEPS; CUTS; JEE; TURN,Player1
50,329,KNEES; AJEE; CACA; CEDED; DAAL; FEET; GEE; TEGG; SEELIE; MINIM; KI; ONNED; OOF; QI; NOR; GHIS; JANNS; UNROOF; TUX; OW; KIR; OOR,161,EASE; EA; AD; TELD; TE; BEE; HET; GHI; EF; LED; INN; OO; HEP; MO; MIR; ERK; ST; PWN; ST; NERK; BLED; NY,Player1
51,319,RETELL; ANAL; ACACIA; BEDAD; DEE; BAE; HEH; JEED; LIKE; NEMN; LIKEN; JOKE; PRETELL; PRETELLS; JOKER; MUNT; EX; WE; WET; SEAN; ZO,184,EN; RIA; ODD; DEE; BEEP; EFF; EA; KEN; EGG; MINE; MO; LOGON; JOSS; SINS; GU; ET; MOTS; ANY; RE; WET; RUN,Player1
52,356,WHINE; MEAN; BACCAE; CEDED; WHINED; BAE; DEGAGE; EIKED; LIMMA; LI; NEF; INN; JO; LOOP; ORG; LIMMAS; GHEES; MOHR; MEANT; UNCEDED; TEX; PWN; JUS; ST,144,EEEW; AS; DIP; BEE; EE; BEEF; GHEE; AE; EF; NAS; AN; LO; NE; DOL; KO; ARS; TE; TO; US; RE; TA; NY; DEV; ERK,Player1
53,288,ACKNOW; KBAR; DADA; AREAE; EWE; AGED; DAH; HIE; FEEL; EMIC; EME; ECHE; JA; NON; POP; HIES; POPS; LAGER; MET; OONT; FY; NU,174,DEB; DAE; IDEE; EE; FEE; CHE; IF; AGE; DAHL; MIG; NE; NED; INK; OON; KO; ESS; ELT; ST; TURR; XU; GEEZ,Player1
54,316,ROUGE; ANEAR; DANG; EDDO; BAE; DEE; BAE; ADOBE; AGED; FIE; HIKE; JELL; ELMEN; JELLO; NONI; ERR; JELLOS; JANNS; GILT; TSKS; WAE; NY; URN; TEE; TWEE,174,NEAR; AB; DA; ED; DACE; DOBE; ZED; EFF; CHEZ; HI; GI; MM; EN; OO; PE; IN; JA; HEP; TSK; SUQ; INS; ER; KY; WEE,Player1
55,340,DETECT; TANA; BEDAD; CAA; EE; FEG; HIE; HIC; JAKE; TEMENE; MINK; DEMON; POON; IRON; SOSS; TURRS; SWY; EX; JOW; EFT,134,NEKS; BUDA; CEE; EEN; EE; TE; EF; DIGGED; BEG; ELK; LI; ONO; AL; NEE; ONS; UR; NED; JO; FAP,Player1
56,340,FITTE; TEGG; PACA; LABDA; DEEDED; AE; DIE; KIKE; MMM; NEELE; NOON; POON; RONDE; LABDAS; IFS; NETTS; RURU; SWEE; ZO; XED; PWN; RIFS,143,EEL; PENT; AB; ICED; GAE; DEE; EH; ELHI; EEN; NE; NO; NA; IF; POONS; NET; JO; JOT; KY; REE; UN; VAE,Player1
57,374,BRASS; TAVAS; ABACA; DADDED; CEE; GAGER; BRASSIE; KEEKED; MILL; MING; KIN; NONI; OON; PRO; MINGS; ABACAS; URP; WE; WENNY; QAT; VET; BEET; NU,178,TEERS; ABAC; SECEDE; EEN; FE; BEE; HE; HE; AG; EF; KI; OLE; PE; NO; TO; HEM; UT; AT; WOON; NY; RAH; AX,Player1
58,298,VEINS; PAAN; ACCA; VADED; EVADED; ESKER; FEDEX; GHEE; JIG; JELLIED; MEL; DEN; MELON; NOOGIE; PE; SNOGS; REF; TED; RUTS; NON; NUN,210,SKER; NAB; AA; DEX; BEDE; DEE; EF; GIE; EHED; ILK; EM; HM; KON; ZOON; NOGS; APTS; RE; TRUST; WE; UN; BEDEW,Player1
59,325,EFFED; KAF; ABACA; ADDEEM; FEE; GEODE; DOSEH; HIE; ALLEL; KINE; BENJ; NOON; OPPO; SCAMS; DOSEHS; SIST; TE; TURN; YE; NY; WAE; NOR,149,DOSE; BAE; SCAM; EEN; ID; GEE; GEE; EIK; KI; BEND; MEE; ENNOG; KARN; SAE; ES; ER; UM; VOE; OR; TO; AT; UR,Player1
60,321,CAGOT; FAW; CAW; CAWED; DADA; DEE; GAE; HEH; JIB; LEEK; LEMME; NIM; NOON; PLINK; PRO; PROSS; CEDER; TUT; YELK; NUNS,149,EE; CAW; BRO; CEDE; EE; DEME; EGG; FIB; EA; KEG; LINK; NO; NO; NORI; ERN; ST; UNS; ST; DEX,Player1
61,337,VLY; YARAK; BACCA; ABBED; DEEVED; NABBED; JEE; EGG; GIE; JANE; MIKED; MINI; EEN; NOOP; ERROR; ORTS; TUTTED; UMM; ZEN; NUS,164,NOEL; AL; DAW; DE; EA; JEE; FE; EN; FAE; HILD; MM; INN; HOE; PONK; SI; ERST; WINN; XU; US; EGGS,Player1
62,350,RIGOR; NANG; CABA; DADA; REEDBED; AXE; GEE; HEID; CHEEK; ELM; FILLE; MOM; QIN; FILLER; DACES; FILLERS; EMPT; KEMPT; PWN; ZUZ; GEEK; NU,200,REE; EX; EA; DACE; DEE; EE; JUGA; EF; FILL; JINNE; NON; OO; UN; NOO; SONS; EE; OR; ST; WRY; REEST; VANE; RET,Player1
63,344,TRAM; TANNA; BACCA; REEDE; MEE; FED; HEH; JEE; TRAMELL; KEMB; REEDEN; JOL; KEMBO; GON; KEMBOS; SERK; DEBAR; TUN; YEH; ZE; POZ; PIRN,194,ED; TAI; DEB; DAD; EEVEN; GEE; GIB; EL; GIE; KNEE; NO; ON; MO; PIR; ERK; PO; SUSS; UT; WE; TOP; FA; WOK,Player1
64,274,UNPENT; PEA; ABACTOR; DADA; AB; BEE; EGG; AI; JIG; LIEF; LEME; EN; NONI; POON; KIKES; QI; ORTS; WUS; HEY,153,TOR; AVE; ED; DE; BEECH; FEN; EFF; GED; KIKE; EL; MM; INN; OO; HE; ORS; UT; TORTS; JO; RED,Player1
65,323,EYRIE; YU; CAA; AYU; DEID; ARBA; CEE; AGGER; AJEE; KIEKIE; LEMME; HM; NAW; NONE; ONO; QI; DEIDS; QIN; TOPS; FEER; XU; REH,166,LAT; BAWR; ARB; LIDDED; ERE; CEDER; FEE; EH; EE; GLEDE; EH; JEE; NO; EON; KOP; ES; OPS; NO; EFS; US; NONET,Player1
66,350,NAIVETE; ABBA; READD; CAAED; EF; EGG; VEEPEE; KIKE; ILL; MEH; MEN; NINON; NOOB; ROON; VEEPEES; KOSS; ABBAS; GRUNT; SYN; XU,164,AND; DANCER; VEEP; EE; TEE; FEH; HE; FED; EM; LA; NEE; CON; OP; OK; KOS; MENT; GRR; VUM; ST,Player1
67,346,PENDS; PANADA; ACCA; DADDED; VEE; FEG; HEH; JEE; GLIME; KEF; MOKI; NOON; ERROR; ACCAS; PANADAS; TURNT; YON; DIV; WOT; MOWS; NON,154,EEVNS; BA; EF; EKE; EE; BIG; EE; GAE; NIL; ANI; NO; ON; REEF; EMS; LEE; JUS; PEKE; ET; BAT; TERROR; GEEZ,Player1
